Fecha,Temp_Media_C,Temp_Maxima_C,Temp_Minima_C,Humedad_Media_Pct,Precip_Total_mm,Viento_Maximo_kmh,Viento_Direccion_Grados,Presion_Media_hPa,Irrad_Solar_MJm2
2009-08-27,26.6,28.7,23.8,66.0,0.0,23.0,105.0,1016.8,22.52
2009-08-28,27.2,30.0,24.7,57.0,0.0,21.6,88.0,1016.1,22.02
2009-08-29,26.0,27.9,24.9,61.0,0.0,30.6,201.0,1017.2,17.32
2009-08-30,25.0,27.4,23.3,60.0,0.8,23.0,180.0,1017.5,20.32
2009-08-31,25.4,28.1,23.1,67.0,0.0,22.7,192.0,1016.6,8.62
2009-09-01,26.5,29.7,24.4,68.0,0.0,28.1,193.0,1015.9,15.52
2009-09-02,26.1,28.5,24.5,72.0,0.0,23.0,139.0,1014.5,15.72
2009-09-03,25.5,28.2,24.3,67.0,0.0,27.7,94.0,1013.1,16.02
2009-09-04,25.2,28.6,23.3,63.0,0.1,32.4,62.0,1015.2,16.52
2009-09-05,23.1,25.5,21.2,52.0,0.0,27.4,323.0,1020.2,15.02
2009-09-06,23.2,25.9,20.9,59.0,0.0,22.3,138.0,1020.2,20.82
2009-09-07,23.4,26.5,20.4,62.0,0.0,22.0,98.0,1020.5,22.22
2009-09-08,23.4,26.3,20.8,65.0,0.0,24.8,99.0,1019.9,21.02
2009-09-09,23.8,27.8,19.8,56.0,0.0,19.8,133.0,1019.8,22.22
2009-09-10,24.6,27.9,21.6,55.0,0.0,23.0,291.0,1020.5,21.02
2009-09-11,24.6,27.6,22.0,53.0,0.0,21.6,124.0,1018.6,19.42
2009-09-12,24.1,26.8,21.4,53.0,0.0,20.2,95.0,1015.5,19.82
2009-09-13,23.7,26.6,22.1,57.0,0.0,23.8,238.0,1014.4,13.42
2009-09-14,21.5,26.1,17.7,65.0,28.9,44.6,79.0,1010.1,10.12
2009-09-15,18.1,19.4,16.8,60.0,0.5,27.4,94.0,1009.8,3.22
2009-09-16,20.5,24.4,16.3,48.0,0.0,31.7,228.0,1008.3,19.72
2009-09-17,21.4,23.9,18.3,59.0,4.8,30.2,270.0,1010.8,12.12
2009-09-18,20.8,24.6,18.3,58.0,1.6,41.4,243.0,1011.7,15.52
2009-09-19,20.1,24.6,16.9,54.0,0.4,38.9,308.0,1016.7,16.92
2009-09-20,20.3,25.0,17.5,63.0,37.3,29.2,157.0,1018.8,15.22
2009-09-21,21.9,26.6,17.4,52.0,0.3,18.4,180.0,1019.3,16.72
2009-09-22,23.9,28.0,20.0,50.0,0.0,38.5,84.0,1020.2,15.42
2009-09-23,23.5,26.4,20.7,57.0,0.0,35.6,82.0,1021.4,18.72
2009-09-24,23.8,28.2,19.9,50.0,0.0,19.4,118.0,1018.7,18.52
2009-09-25,23.2,26.4,20.1,61.0,0.0,20.9,202.0,1018.4,17.52
2009-09-26,22.6,25.3,20.2,60.0,0.0,21.2,87.0,1019.8,17.22
2009-09-27,22.4,25.7,19.4,62.0,0.0,33.5,74.0,1020.6,17.82
2009-09-28,22.1,24.7,20.0,59.0,0.0,27.0,65.0,1020.2,10.12
2009-09-29,22.4,25.5,19.6,54.0,0.0,28.4,106.0,1018.4,16.22
2009-09-30,22.3,25.3,20.0,54.0,0.0,18.4,261.0,1015.6,7.72
2009-10-01,22.3,26.6,19.0,58.0,1.8,34.2,321.0,1014.4,15.52
2009-10-02,21.8,26.5,18.3,63.0,0.0,21.6,205.0,1014.9,16.52
2009-10-03,21.4,24.3,19.0,56.0,0.0,18.4,132.0,1016.5,16.32
2009-10-04,21.4,24.7,18.2,66.0,0.0,29.2,242.0,1016.6,15.92
2009-10-05,22.9,27.0,19.4,72.0,0.0,28.4,230.0,1016.9,16.12
2009-10-06,22.9,26.3,19.9,73.0,0.0,20.9,136.0,1018.6,15.92
2009-10-07,23.3,27.5,19.5,68.0,0.0,15.8,166.0,1017.0,14.72
2009-10-08,24.1,27.5,21.5,62.0,0.0,27.4,82.0,1013.8,13.92
2009-10-09,21.7,24.4,19.9,71.0,5.0,26.6,77.0,1017.1,15.32
2009-10-10,21.4,23.9,20.2,74.0,0.0,27.4,76.0,1017.9,11.12
2009-10-11,21.7,25.2,18.3,64.0,0.0,22.0,179.0,1017.6,16.12
2009-10-12,21.3,26.4,18.6,63.0,0.0,27.7,283.0,1016.1,15.22
2009-10-13,21.1,26.8,18.0,52.0,0.0,19.4,144.0,1018.6,15.92
2009-10-14,20.0,23.2,17.3,48.0,0.0,31.7,85.0,1016.6,14.02
2009-10-15,16.9,19.9,13.1,37.0,1.2,34.2,75.0,1016.4,11.62
2009-10-16,16.3,21.8,11.7,28.0,0.0,31.0,337.0,1020.4,15.62
2009-10-17,16.5,19.3,11.9,37.0,0.0,23.4,289.0,1017.1,15.72
2009-10-18,15.9,19.4,12.0,38.0,0.0,25.9,81.0,1016.2,15.62
2009-10-19,15.6,16.8,13.5,57.0,0.0,18.7,99.0,1014.0,6.02
2009-10-20,18.8,20.0,16.3,65.0,1.6,39.2,194.0,1006.6,3.52
2009-10-21,18.4,21.6,15.9,62.0,19.7,49.3,211.0,1000.5,6.42
2009-10-22,15.4,17.0,13.2,65.0,76.1,50.4,292.0,999.0,1.62
2009-10-23,17.4,22.1,12.7,56.0,0.0,27.4,297.0,1013.1,14.12
2009-10-24,19.5,25.5,15.5,64.0,0.0,19.8,301.0,1016.4,13.72
2009-10-25,20.6,25.7,17.2,69.0,0.0,14.0,259.0,1016.3,9.92
2009-10-26,19.6,21.4,17.2,77.0,0.1,19.4,126.0,1017.7,5.62
2009-10-27,18.5,21.8,15.8,75.0,0.0,16.9,85.0,1018.6,9.72
2009-10-28,19.0,20.4,17.9,77.0,0.0,17.6,186.0,1019.7,5.32
2009-10-29,20.0,25.0,17.2,72.0,0.0,20.9,226.0,1017.7,11.32
2009-10-30,18.8,22.0,15.8,71.0,0.0,19.4,88.0,1019.9,11.22
2009-10-31,18.5,21.5,15.9,76.0,0.0,16.2,150.0,1023.6,8.82
2009-11-01,19.3,23.2,15.6,76.0,0.0,32.0,247.0,1018.4,9.72
2009-11-02,19.0,22.9,14.6,52.0,0.0,43.2,305.0,1010.4,9.52
